ShortIndustry,Industry,IssuedbyOrganization,Issued for Organization,Title,Tender No,ProcurementMethod,Issued Date,Amendments,ClosingDate,SuccessfulVendor,SuccessfulVendorCity,AwardTotal,DateAwarded,Province,Country,IssuedYr,ClosingYr,AwardedYr,IssuedMon,ClosingMon,AwardedMon
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Northeast Region–Stream Flow Surveys & Assessments–CS16FSJ0003A,CS16FSJ0003_A,ITT,2015-06-11,0,2015-06-17,Peace Country Technicalk Services Ltd.,Dawson Creek,"$10,030.00",2014-07-25,British Columbia,Canada,2015,2015,2014,6,6,7
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",KISPIOX TSA BRUSHING,10005-40/BR15844001,ITT,2014-06-19,1,2014-06-24,Gitanmaax Band Council,Hazelton,"$62,963.48",2014-07-27,British Columbia,Canada,2014,2014,2014,6,6,7
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,BCTPS & CPS Maintenance Services,TRAN-IMB-TPS_CPS2014,RFP,2014-04-04,0,2014-04-24,Hewlett-Packard (Canada) Co.,Victoria,"$166,600.00",2014-07-28,British Columbia,Canada,2014,2014,2014,4,4,7
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Resurfacing in Kamloops-TCH 1,Westsyde Rd,Hwy 5A,Lac Le Jeune Rd",23677MJ0000,MOTITT,2014-07-03,0,2014-07-24,Dawson Construction Limited,Kamloops,"$6,843,066.40",2014-07-28,British Columbia,Canada,2014,2014,2014,7,7,7
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Environment,2014 CO Vehicle Upfit,ITQ-004263R,Itq,2014-07-06,0,2014-07-09,Express Custom Trailer Manufacturing Inc,Parksville,"$1,109,358.84",2014-07-28,British Columbia,Canada,2014,2014,2014,7,7,7
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Agriculture,"Sanyo ultra low freezer (Abbotsford, BC)",ITQ-004279,Itq,2014-07-16,2,2014-07-21,VWR International Ltd,Mississauga,"$15,480.64",2014-07-28,Ontario,Canada,2014,2014,2014,7,7,7
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services","Renewal Proventia G Maintenance (Victoria, BC)",ITQ-004285,Itq,2014-07-17,0,2014-07-24,Integrity-Paahi Solutions Inc.,Vancouver,"$206,210.59",2014-07-28,British Columbia,Canada,2014,2014,2014,7,7,7
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Indian Point Bridge G1-049 Deactivation,EN15DPG014,ITT,2014-07-22,2,2014-07-29,Platinum Stone Contracting Ltd.,Mission,"$85,796.00",2014-07-28,British Columbia,Canada,2014,2014,2014,7,7,7
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Britannia Mine: Groundwater Management System Forcemain Cleaning,CCSP2014-05,ITT,2014-05-21,5,2014-05-30,Quantum Remediation,Richmond,"$653,884.84",2014-07-29,British Columbia,Canada,2014,2014,2014,5,5,7
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Perform Hydrographic Surveys at Selected Bridge Sites in BC,05206OP0014,MOTITT,2014-07-02,0,2014-07-23,DWB Consulting Services Ltd,Prince George,"$99,500.00",2014-07-29,British Columbia,Canada,2014,2014,2014,7,7,7
COSRV,"Education, Social, and Community Services","Ministry of Technology, Innovation and Citizens' Services","Ministry of Technology, Innovation and Citizens' Services",Civil Contractor Services,on-002492,ITT,2014-07-21,8,2014-07-23,BD Hall Constructors Corp,Surrey,"$4,164,044.00",2014-07-29,British Columbia,Canada,2014,2014,2014,7,7,7
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,New Toilet/Shower Building Okanagan Lake Provincial Park,2930106,ITT,2014-07-21,1,2014-07-29,DJM Contracting Ltd,Rossland,"$374,786.00",2014-07-29,British Columbia,Canada,2014,2014,2014,7,7,7
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFQ6254_GenEngSer_As&When2014-2016,6254,RQU,2014-04-10,2,2014-04-16,R. F. Binnie & Associates Ltd.,Burnaby,"$2,000,000.00",2014-07-30,British Columbia,Canada,2014,2014,2014,4,4,7
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,RFQ6254_GenEngSer_As&When2014-2016,6254,RQU,2014-04-10,2,2014-04-16,McElhanney Consulting Services Ltd.,Vancouver,"$2,000,000.00",2014-07-30,British Columbia,Canada,2014,2014,2014,4,4,7
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Road Maintenance and Deactivation - Chilliwack Forest District,EN15LMN303,ITT,2014-06-12,1,2014-06-16,Pacific Coast Articulated Truck Ltd.,Chilliwack,"$362,097.31",2014-07-30,British Columbia,Canada,2014,2014,2014,6,6,7
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Helicopter-Based Detailed Aerial Bark Beetle Surveys,FH15950-002,ITT,2014-07-07,0,2014-07-21,Maple Leaf Forestry Ltd.,Cranbrook,"$161,850.00",2014-07-30,British Columbia,Canada,2014,2014,2014,7,7,7
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",ITT for SIBEC Sampling in the MidCoast and Kingcome TSAs,RE16NAN905,MOTITT,2015-06-05,0,2015-06-29,Canellation,Victoria,$0.00,2014-07-30,British Columbia,Canada,2015,2015,2014,6,6,7
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",LOIS LAKE/HOTHAM SOUND FOREST ROAD DEACTIVATION,EN15LMN108,ITT,2014-06-19,0,2014-07-08,ALLEN E COOK DBA COOK & SONS CONTRACTING,Gibsons,"$87,716.00",2014-07-31,British Columbia,Canada,2014,2014,2014,6,7,7
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Mechanical Site Preparation Backlog NSR and MPB,SP15DPG008,ITT,2014-07-09,2,2014-07-28,SOUTHFORK HOLDINGS LTD.,Prince George,"$197,790.00",2014-07-31,British Columbia,Canada,2014,2014,2014,7,7,7
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Copper River Instream Fisheries Restoration Project,EN15NAN804,ITT,2014-07-10,0,2014-07-24,N/A,N/A,$0.00,2014-07-31,N/A,N/A,2014,2014,2014,7,7,7
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations","Road Deactivation - Moresby Island, Haida Gwaii",EN15NAN-803,ITT,2014-07-18,1,2014-07-29,Silva Services Ltd.,Duncan,"$23,689.20",2014-07-31,British Columbia,Canada,2014,2014,2014,7,7,7
COSRV,"Education, Social, and Community Services",Ministry of Children and Family Development,Ministry of Children and Family Development,Aboriginal Development Child and Youth Mental Health Clinician,6305,RFP,2014-05-22,5,2014-05-23,Scw'exmx Child and Family Services Society,Merritt,"$72,000.00",2014-08-01,British Columbia,Canada,2014,2014,2014,5,5,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,TrafEngSer_George Massey Tunnel Replacement Project,GMT TRAF_2014 05,RFP,2014-05-29,2,2014-06-16,DELCAN CORPORATION,Burnaby,"$2,000,000.00",2014-08-01,British Columbia,Canada,2014,2014,2014,5,6,8
COSRV,"Education, Social, and Community Services","Ministry of Community, Sport and Cultural Development","Ministry of Community, Sport and Cultural Development",Strategic Project Management (Land Use),RFP15-UEL002,RFP,2014-06-17,0,2014-07-10,Hugh Kellas,Victoria,"$75,000.00",2014-08-01,British Columbia,Canada,2014,2014,2014,6,7,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Traffic Control & First Aid Services for Dease Lake area,333ITQ7961DL,ITQ,2014-07-18,0,2014-08-01,D&R Traffic Control Ltd,Smithers,"$50,000.00",2014-08-01,British Columbia,Canada,2014,2014,2014,7,8,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Traffic Control & First Aid Services for Dease Lake area,333ITQ7961DL,ITQ,2014-07-18,0,2014-08-01,D&R Traffic Control Ltd.,Telkwa,"$50,000.00",2014-08-01,British Columbia,Canada,2014,2014,2014,7,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Bridge Installation 5km East Canoe FSR (G3-011A),EN15PGN328,ITT,2014-07-25,1,2014-07-30,Forbes Industrial Contractors Ltd.,Prince George,"$218,435.25",2014-08-01,British Columbia,Canada,2014,2014,2014,7,7,8
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Syringa Creek Park Shower House Building Electrification,CP15CBE22,ITT,2014-07-29,6,2014-07-31,ADM Electric Ltd,Castlegar,"$5,256.93",2014-08-05,British Columbia,Canada,2014,2014,2014,7,7,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Request for Proposal - Research Consultant,RFP-BMSB11-20130204,RFP,2013-02-04,0,2013-02-22,Eric John Wolfhard,Victoria,"$150,000.00",2014-08-06,British Columbia,Canada,2013,2013,2014,2,2,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Hwy Department Engineering & Technical Working Committee Support,SRFP-ENG140627,SRFP,2014-07-03,2,2014-07-11,Elevate Consulting Inc,Victoria,"$250,000.00",2014-08-06,British Columbia,Canada,2014,2014,2014,7,7,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",BRIDGE GUARDRAIL REPLACEMENT - TEXADA ISLAND FSR 5829 BR 03,EN15LMN113,ITT,2014-07-14,0,2014-07-31,CALIBER BRIDGE AND DESIGN LTD,Campbell River,"$12,850.00",2014-08-06,British Columbia,Canada,2014,2014,2014,7,7,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Mill and pave 17km of Hwy 29,37043MJ0001,MOTITT,2014-07-14,1,2014-07-30,Peter's Bros. Construction Ltd.,Penticton,"$3,477,211.00",2014-08-06,British Columbia,Canada,2014,2014,2014,7,7,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Oregon Spotted Frog Recovery Activities – 2014/15,GS15LMN-033,SRFP,2014-07-25,0,2014-08-05,Fraser Valley Conservancy,Abbotsford,"$20,000.00",2014-08-06,British Columbia,Canada,2014,2014,2014,7,8,8
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply Deliver and Place Concrete Barrier (Vernon BC),ITQ-004287,Itq,2014-07-29,2,2014-08-05,Eagle West Truck & Crane Inc.,Abbotsford,"$1,323,637.28",2014-08-06,British Columbia,Canada,2014,2014,2014,7,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Sign and Bridge Maintenance,EN15LMN237,ITT,2014-07-17,0,2014-07-31,Bournes Environmental Ltd.,Comox,"$13,340.00",2014-08-07,British Columbia,Canada,2014,2014,2014,7,7,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",SU15952003 - FFT Silviculture Surveys Arrow TSA (Nakusp/Edgewood,SU15952003,ITT,2014-07-23,0,2014-08-07,Zanzibar Holdings Ltd.,North Vancouver,"$36,375.00",2014-08-07,British Columbia,Canada,2014,2014,2014,7,8,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,ITQ-201407SRS Three-Digit Post Mounted Speed Display Signs,ITQ-201407SRS,ITQ,2014-07-15,0,2014-07-25,Mega Technical Holdings Ltd.,Chilliwack,"$18,034.80",2014-08-08,British Columbia,Canada,2014,2014,2014,7,7,8
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply Deliver and Place Concrete Barrier (Vernon BC),ITQ-004287,Itq,2014-07-29,2,2014-08-05,Kemp Concrete Products,Kamloops,"$1,734,236.00",2014-08-08,British Columbia,Canada,2014,2014,2014,7,8,8
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Syringa Creek Park Shower House Building Upgrade,CP15CBE021,ITT,2014-07-30,6,2014-07-31,Hil-Tech Contracting Ltd.,Trail,"$230,228.00",2014-08-08,British Columbia,Canada,2014,2014,2014,7,7,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,BMIS Data Entry,CMB20140516,SRFP,2014-05-22,4,2014-06-06,Anna Pretorius DBA Anna Pretorious Consulting,Victoria,"$44,000.00",2014-08-11,British Columbia,Canada,2014,2014,2014,5,6,8
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Syringa Creek Prov. Park Campground conversion equipment rental,CP15CBE019,ITQ,2014-07-15,0,2014-07-31,White Contracting Ltd,Castlegar,"$60,000.00",2014-08-11,British Columbia,Canada,2014,2014,2014,7,7,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations","Crossing Design, Supply and Install, 38km Finlay-Russell FSR",EN15PGN341,ITT,2014-07-22,5,2014-07-25,Platinum Stone Contracting Ltd.,Victoria,"$354,719.00",2014-08-11,British Columbia,Canada,2014,2014,2014,7,7,8
ENVOMT,Natural Resources and Agriculture,Ministry of Environment,Ministry of Environment,Syringa Creek Park Shower House-Septic System Upgrade.,CP15CBE20,ITT,2014-07-30,3,2014-07-31,Hil-Tech Contracting Ltd.,Trail,"$36,754.00",2014-08-11,British Columbia,Canada,2014,2014,2014,7,7,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Silviculture Consulting Services for SSS & CR for Bulkley TSA,CS15844004,ITT,2014-08-01,2,2014-08-08,Tyhee Forestry Consultants Ltd,Smithers,"$62,000.00",2014-08-11,British Columbia,Canada,2014,2014,2014,8,8,8
ENVOMT,Natural Resources and Agriculture,Ministry of Agriculture,Ministry of Agriculture,Development of Water & Wastewater BMPs for BC Mushroom Industry,RFP GSAGF2-226,RFP,2014-05-22,0,2014-06-17,Golder Associates Ltd,Surrey,"$79,946.00",2014-08-13,British Columbia,Canada,2014,2014,2014,5,6,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Asphalt Resurfacing - Hwy 3 Avalanche Gates to Sumallo Grove,12559MJ2014,MOTITT,2014-07-30,1,2014-08-06,Emil Anderson Maintenance Co. Ltd.,Rosedale,"$1,718,777.32",2014-08-13,British Columbia,Canada,2014,2014,2014,7,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Accessibility Surfacing work – KVR Trail – Little Tunnel Parking,RC15213-015,ITT,2014-08-06,3,2014-08-13,Mackinley-Clark Paving Ltd,Penticton,"$39,417.00",2014-08-13,British Columbia,Canada,2014,2014,2014,8,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Prince George West YSM,1070-30/OT15FHQ140,ITT,2014-07-03,0,2014-07-17,N/A,N/A,$0.00,2014-08-14,N/A,N/A,2014,2014,2014,7,7,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Signalization of 100th Avenue and East Bypass Road Intersection,37090MJ0000,MOTITT,2014-07-31,1,2014-08-12,Belvedere Place Contracting Ltd.,Kelowna,"$547,530.00",2014-08-14,British Columbia,Canada,2014,2014,2014,7,8,8
ENVOMT,Natural Resources and Agriculture,Ministry of Agriculture,Ministry of Agriculture,Agriculture Emergency Plan Template for Local Governments,SFRP - GSAGF2-234,SRFP,2014-06-20,0,2014-07-18,Risk Reduction Strategies,Victoria,"$47,611.00",2014-08-15,British Columbia,Canada,2014,2014,2014,6,7,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",2014 Mistletoe Eradication,FH15DQU001,ITT,2014-07-16,0,2014-08-12,Dewan Enterprises Ltd.,Quesnel,"$9,523.30",2014-08-15,British Columbia,Canada,2014,2014,2014,7,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Various Repairs on the Suskwa FSR,EN15PGN348,ITT,2014-07-31,6,2014-08-08,Northern Industries Ltd,Smithers,"$153,600.00",2014-08-15,British Columbia,Canada,2014,2014,2014,7,8,8
COSRV,"Education, Social, and Community Services","Ministry of Technology, Innovation and Citizens' Services","Ministry of Technology, Innovation and Citizens' Services",Kelowna Courthouse Renovation,ON-002540,RFP,2014-08-08,5,2014-08-14,Ratio Architecture Interior Design + Planning,Vancouver,"$342,134.00",2014-08-18,British Columbia,Canada,2014,2014,2014,8,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Bridge Replacement K112 Reflector Lake,EN15474-017,ITT,2014-07-31,0,2014-08-21,Wadlegger Logging & Construction Ltd.,Clearwater,"$129,800.00",2014-08-21,British Columbia,Canada,2014,2014,2014,7,8,8
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services","Summit Lite Software (Victoria, BC)",ITQ-004290,Itq,2014-08-11,0,2014-08-20,Techport Services Canada,Maple Ridge,"$5,488.00",2014-08-21,British Columbia,Canada,2014,2014,2014,8,8,8
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,"Interlocking Concrete Blocks (Spences Bridge, BC)",ITQ-004292,Itq,2014-08-15,2,2014-08-20,Coast Range Concrete Ltd,Lillooet,"$91,182.01",2014-08-21,British Columbia,Canada,2014,2014,2014,8,8,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Engineering and Inspection Services for Marine Structures,038CS92665,RFP,2014-05-30,0,2014-06-20,WorleyParsons Canada Services,Burnaby,"$500,000.00",2014-08-22,British Columbia,Canada,2014,2014,2014,5,6,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Engineering and Inspection Services for Marine Structures,038CS92665,RFP,2014-05-30,0,2014-06-20,SNC-Lavalin Inc,Vancouver,"$500,000.00",2014-08-22,British Columbia,Canada,2014,2014,2014,5,6,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,KITIMAT WEST DOUGLAS CHANNEL CORRIDOR ANALYSIS,RFP #KWDC-CA,RFP,2014-01-20,8,2014-01-23,Focus Corporation,Victoria,"$1,333,333.00",2014-08-25,British Columbia,Canada,2014,2014,2014,1,1,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Rock Slope Stabilization,11404MJ4371,MOTITT,2014-06-11,0,2014-07-08,N/A,N/A,$0.00,2014-08-25,N/A,N/A,2014,2014,2014,6,7,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway No. 3B and Columbia Gardens Raod Crosswalk Upgrade,23695MN0000,MOTITT,2014-07-29,0,2014-08-12,Interoute Consturction Ltd dba Selkirk Paving,Crescent Valley,"$164,833.85",2014-08-25,British Columbia,Canada,2014,2014,2014,7,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Hurley River Forest Service Road Maintenance,EN15LMN236,ITT,2014-07-30,0,2014-08-13,Squamish Mills Ltd.,Squamish,"$91,560.64",2014-08-25,British Columbia,Canada,2014,2014,2014,7,8,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Install a perimeter fence and one gate with pedestal per pit,28560MN0005,MOTITT,2014-08-07,0,2014-08-21,N/A,N/A,$0.00,2014-08-25,N/A,N/A,2014,2014,2014,8,8,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Traffic Control and First Aid Services H97 Median Barrier,23770OP0001,MOTITT,2014-08-08,0,2014-08-22,647354 BC Ltd. DBA Aardvark Pavement Marking Svs,Kelowna,"$77,420.00",2014-08-25,British Columbia,Canada,2014,2014,2014,8,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Danger Tree Assessments,CS15LMN100,ITT,2014-08-08,1,2014-08-13,BC Plant Health Care Inc.,Surrey,"$1,875.00",2014-08-25,British Columbia,Canada,2014,2014,2014,8,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Danger Tree Remediation or Removal,GS15LMN101,ITT,2014-08-08,1,2014-08-13,BC Plant Health Care Inc.,Surrey,"$4,400.00",2014-08-25,British Columbia,Canada,2014,2014,2014,8,8,8
INFRA,"Trades, Infrastruture, and Manufactoring",Procurement Services Branch,Ministry of Transportation and Infrastructure,"Ski-Doo Summit (Smithers, BC)",ITQ-004288,Itq,2014-08-11,0,2014-08-19,Evergreen Industrial Supplies Ltd.,Smithers,"$13,825.28",2014-08-26,British Columbia,Canada,2014,2014,2014,8,8,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Transit Shelter Installation,233LM7510,ITQ,2014-08-11,0,2014-08-26,North Valley Contracting Ltd.,Armstrong,"$17,120.25",2014-08-26,British Columbia,Canada,2014,2014,2014,8,8,8
ENVOMT,Natural Resources and Agriculture,Procurement Services Branch,Ministry of Agriculture,"96 Well Magnetic Particle Processor (Abbotsford, BC)",ITQ-004294,Itq,2014-08-14,0,2014-08-21,Life Technologies Inc,Burlington,"$40,552.19",2014-08-27,Ontario,Canada,2014,2014,2014,8,8,8
Health,Health,Ministry of Health,Ministry of Health,Patients as Partners Quality Improvement Services,RFPHL201,RFP,2014-07-09,4,2014-07-14,Health Improvement Action Society of British Colum,Vancouver,"$2,300,000.00",2014-08-28,British Columbia,Canada,2014,2014,2014,7,7,8
Health,Health,Ministry of Health,Ministry of Health,Pharmacist Consultant,RFPHL205,RFP,2014-07-11,1,2014-07-15,Laura-Lynn Pollock,Victoria,"$168,480.00",2014-08-29,British Columbia,Canada,2014,2014,2014,7,7,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Highway 3 - Legal Survey - Westgate,6492,ITQ,2014-07-31,0,2014-08-19,Mcelhanney Associates Land Surveying Ltd.,Victoria,"$14,500.00",2014-08-29,British Columbia,Canada,2014,2014,2014,7,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Road and Bridge Maintenance in the Prince George area,EN15DPG021,ITT,2014-08-07,1,2014-08-22,PROFOR MANAGEMENT INC,McBride,"$180,000.00",2014-08-29,British Columbia,Canada,2014,2014,2014,8,8,8
INFRA,"Trades, Infrastruture, and Manufactoring",Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Steel Pipe Augering - Robson District,36821MN0000,MOTITT,2014-08-11,0,2014-08-25,Kamloops Augering & Boring Ltd.,Kamloops,"$131,339.83",2014-08-29,British Columbia,Canada,2014,2014,2014,8,8,8
ENVOMT,Natural Resources and Agriculture,"Ministry of Forests, Lands and Natural Resource Operations","Ministry of Forests, Lands and Natural Resource Operations",Conifer Release Brushing (LBI) in the Bulkley TSA,BR15844003,ITT,2014-08-14,0,2014-08-28,Gitanmaax Band Council,Hazelton,"$25,434.04",2014-08-29,British Columbia,Canada,2014,2014,2014,8,8,8
GovLAW,Government and Law,Ministry of Aboriginal Relations and Reconciliation,Ministry of Aboriginal Relations and Reconciliation,Survey Services-Sarita-Remainder lands,ON-002547,RFP,2014-08-15,2,2014-08-20,Kenyon Wilson Professional Land Surveyor,Duncan,"$425,000.00",2014-08-29,British Columbia,Canada,2014,2014,2014,8,8,8
COSRV,"Education, Social, and Community Services","Ministry of Technology, Innovation and Citizens' Services","Ministry of Technology, Innovation and Citizens' Services",SURREY COURTHOUSE RENOVATIONS AND ADDITION,ON-002537,RFP,2014-08-15,7,2014-08-21,NORR Architect Planners Inc,Vancouver,"$1,568,800.00",2014-08-29,British Columbia,Canada,2014,2014,2014,8,8,8
Health,Health,Ministry of Health,Ministry of Health,Security Services,ON-002520,RFP,2014-08-19,4,2014-08-21,"Canadian Corps of Comissionaires, VIY Division",Victoria,"$1,254,436.00",2014-08-29,British Columbia,Canada,2014,2014,2014,8,8,8
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services","SSL Certificate Service (Victoria, BC)",ITQ-004291,Itq,2014-08-20,2,2014-08-25,Entrust Limited,Ottawa,"$207,691.31",2014-08-29,Ontario,Canada,2014,2014,2014,8,8,8
COSRV,"Education, Social, and Community Services",Procurement Services Branch,"Ministry of Technology, Innovation and Citizens' Services","SDSI IBM DB2 Connect Support Renewal (Victoria, BC)",ITQ-004296,Itq,2014-08-22,0,2014-08-28,Softchoice LP,Vancouver,"$20,083.44",2014-08-29,British Columbia,Canada,2014,2014,2014,8,8,8
COSRV,"Education, Social, and Community Services","Ministry of Community, Sport and Cultural Development","Ministry of Community, Sport and Cultural Development",Application Development and Maintenance Services,RFP14-ISB-001,RFP,2014-03-21,0,2014-04-11,TP Systems Ltd.,New Westminster,"$3,000,000.00",2014-09-01,British Columbia,Canada,2014,2014,2014,3,4,9
